title,views,likes,comments,published,videoId,url
줄 없이 던져진 여성 #shorts / YTN,5157859,23908,3434,2026-06-15T05:33:04Z,vbV-OfYybyE,https://www.youtube.com/watch?v=vbV-OfYybyE
사고 속출하는 설악산 #shorts / YTN,4826866,17873,4536,2026-06-16T08:21:51Z,7DWneSAib48,https://www.youtube.com/watch?v=7DWneSAib48
팬들에 다급한 경고 #shorts / YTN,2802157,16708,1184,2026-06-18T04:51:41Z,Xj_qR8NCMGs,https://www.youtube.com/watch?v=Xj_qR8NCMGs
성인 남성 누우니 '꽉' #shorts / YTN,2074595,5983,2651,2026-06-15T06:22:38Z,HcSc027Vd7U,https://www.youtube.com/watch?v=HcSc027Vd7U
'감성' 나누는 로봇? #shorts / YTN,1830304,5484,1419,2026-06-15T11:01:51Z,psEEZ7gvA8o,https://www.youtube.com/watch?v=psEEZ7gvA8o
"""트럼프 대체 왜 이러냐"" #shorts / YTN",1346716,12648,1300,2026-06-20T06:31:49Z,81yHclLzK-E,https://www.youtube.com/watch?v=81yHclLzK-E
"[자막뉴스] '왼쪽 다리' 발견된 송도 자원순환시설...""학생 추정"" 뒤집은 국과수 / YTN",1238851,6456,2612,2026-06-16T00:53:03Z,S-EETRR3lq8,https://www.youtube.com/watch?v=S-EETRR3lq8
'주사이모 논란' 이후... #shorts / YTN,1136693,4420,594,2026-06-15T08:31:51Z,kmtIylafW-M,https://www.youtube.com/watch?v=kmtIylafW-M
침수 차량 탈출하는 법 #shorts / YTN,1085362,2018,334,2026-06-20T06:03:11Z,GA7Pv_20kGI,https://www.youtube.com/watch?v=GA7Pv_20kGI
여기엔 어떻게 들어간 거야? #shorts / YTN,1062823,4670,154,2026-06-18T05:13:04Z,p1QVUXCyhyo,https://www.youtube.com/watch?v=p1QVUXCyhyo
결국 1위 찍어버린 테슬라 #shorts / YTN,996687,3320,860,2026-06-15T00:31:34Z,kPVB54ttDDw,https://www.youtube.com/watch?v=kPVB54ttDDw
[자막뉴스] 시도 때도 없이 '딸깍'...MZ 유행템 뜻밖의 민폐 논란 / YTN,817320,4917,2512,2026-06-16T04:21:52Z,KqvcblOBpPI,https://www.youtube.com/watch?v=KqvcblOBpPI
목숨 살린 '게이밍 PC' #shorts / YTN,798684,2580,181,2026-06-17T11:01:32Z,cyaCogEGkSk,https://www.youtube.com/watch?v=cyaCogEGkSk
참교육 '사이다' 가능할까 #shorts / YTN,791009,12243,2015,2026-06-15T04:52:02Z,n0RCdkYotHk,https://www.youtube.com/watch?v=n0RCdkYotHk
황당한 아파트 민원 #shorts / YTN,789642,11623,1180,2026-06-17T06:01:34Z,zI7gzkt_Rvs,https://www.youtube.com/watch?v=zI7gzkt_Rvs
동물병원의 황당한 실수 #shorts / YTN,766154,7099,917,2026-06-16T07:52:48Z,Hmt55WpJ0tc,https://www.youtube.com/watch?v=Hmt55WpJ0tc
대낮에 쓰러진 주한미군 #shorts / YTN,746610,2665,201,2026-06-24T11:01:43Z,bVq6eCM6bGg,https://www.youtube.com/watch?v=bVq6eCM6bGg
"[자막뉴스] ""전자담배는 괜찮다?"" 착각...내일부터 과태료 폭탄 시작 / YTN",701156,3304,3016,2026-06-23T05:02:17Z,md4T7-FG0Bw,https://www.youtube.com/watch?v=md4T7-FG0Bw
녹아버린 잠실 투표용지함? #shorts / YTN,697066,24638,1697,2026-06-23T07:41:41Z,BA3gEUEuLqE,https://www.youtube.com/watch?v=BA3gEUEuLqE
"""월드컵 최악의 경기"" #shorts / YTN",678106,9739,994,2026-06-25T07:11:41Z,kE3kbtoBRZs,https://www.youtube.com/watch?v=kE3kbtoBRZs
머스크의 비밀병기 '두뇌 칩' #shorts / YTN,648469,4742,476,2026-06-16T07:04:07Z,7KHS3eOSW0s,https://www.youtube.com/watch?v=7KHS3eOSW0s
FIFA의 '황당 제지' #shorts / YTN,622973,1629,129,2026-06-16T06:41:54Z,SHninfivQig,https://www.youtube.com/watch?v=SHninfivQig
반려견 사살한 美 경찰 #shorts / YTN,571861,6494,589,2026-06-16T07:02:31Z,YIM1Gj2mLRE,https://www.youtube.com/watch?v=YIM1Gj2mLRE
'중일 갈등' 건드렸다 #shorts / YTN,563265,1673,150,2026-06-18T02:01:52Z,32WiVelawP8,https://www.youtube.com/watch?v=32WiVelawP8
한국은 무비자인데 #shorts / YTN,541989,4403,436,2026-06-23T02:32:13Z,9VxWhtgq-Gc,https://www.youtube.com/watch?v=9VxWhtgq-Gc
"[날씨] ""장마, 시작도 안 해""...태풍까지 겹친다 / YTN",501541,1862,447,2026-06-20T06:18:03Z,TkIaptHGhds,https://www.youtube.com/watch?v=TkIaptHGhds
